"Test" "Group" "Subj" "eAP" "eML" "dAP" "dML" "dTot" "dSmth" "GT" "eTot" "test"
"184" "teof" "N" "sg" 1010.625667 371.03 305.87 416.02 569.13 135.78 "N.teof" 1381.65567 4
"185" "tecf" "N" "sg" 220.519 803.00067 317.69 419.66 583.21 166.12 "N.tecf" 1023.51967 5
"186" "tvcf" "N" "sg" 2608.366667 3521.48967 350.58 443.32 622.14 171.21 "N.tvcf" 6129.85633 6
"187" "teoh" "W" "sj" 72.520333 149.41333 348.97 446.13 623.44 73.28 "W.teoh" 221.93367 1
"188" "tech" "W" "sj" 83.432667 363.06433 369.18 458.94 652.44 145.76 "W.tech" 446.497 2
"189" "tvch" "W" "sj" 65.126667 299.21633 364.68 438.92 628.28 108.09 "W.tvch" 364.343 3
"190" "teof" "W" "sj" 209.691667 482.61267 326.12 419.17 586.89 125.64 "W.teof" 692.30433 4
"191" "tecf" "W" "sj" 457.692333 1352.30133 455.72 534.93 778.46 336.89 "W.tecf" 1809.99367 5
"192" "tvcf" "W" "sj" 367.075333 641.97733 360.12 470.34 651.33 210.38 "W.tvcf" 1009.05267 6
"193" "teoh" "N" "sm" 266.942667 153.715 303.57 265.64 459.66 93.9 "N.teoh" 420.65767 1
"194" "tech" "N" "sm" 49.885 56.897 285.94 294.39 468.23 64.21 "N.tech" 106.782 2
"195" "tvch" "N" "sm" 25.668333 51.83633 274.11 281.25 449.78 61.34 "N.tvch" 77.50467 3
"196" "teof" "N" "sm" 840.048333 165.90467 317.19 317.65 508.53 90.88 "N.teof" 1005.953 4
"197" "tecf" "N" "sm" 599.491333 460.09833 358.34 445.48 636.65 185.93 "N.tecf" 1059.58967 5
"198" "tvcf" "N" "sm" 388.761 246.60233 309.82 377.36 541.51 126.58 "N.tvcf" 635.36333 6
"199" "teoh" "W" "ss" 67.953333 148.25333 290.08 323.3 489.14 68.99 "W.teoh" 216.20667 1
"200" "tech" "W" "ss" 191.510667 499.73633 314.15 329.85 514.74 158.94 "W.tech" 691.247 2
"201" "tvch" "W" "ss" 154.442667 634.93933 291.78 333.21 496.07 127.41 "W.tvch" 789.382 3
"202" "teof" "W" "ss" 575.894333 709.42833 311.68 332.8 509.87 123.24 "W.teof" 1285.32267 4
"203" "tecf" "W" "ss" 317.892667 430.11667 305.61 360.98 528.96 163.55 "W.tecf" 748.00933 5
"204" "tvcf" "W" "ss" 1235.682 1033.323 324 359.31 546.6 176.51 "W.tvcf" 2269.005 6
